Method,avg_time,total_dist,success_rate,pickups,deliveries,total_reward
Normal (No Bundling),774.9080237694725,29507.14306409916,0.8865996970905703,,,
Heuristic Bundling,719.7316968394073,19092.130483097055,0.8793596712201721,,,
RL Shared-DQN (MADDPG-style),0.0225886604924328,0.0,0.957292680289761,18498.0,17708.0,1882548.375
