edge,geodesic_distance_km,gh_distance_km,distance_diff_km,distance_pct_change,geodesic_time_min,gh_time_min,time_diff_min,time_pct_change
39049001110->39049003000,4.329004393965565,6.111,1.7819956060344344,41.16409788168511,0,10.083333333333334,10.083333333333334,0
39049001110->39049001121,1.0019275031000532,1.711,0.7090724968999469,70.77083867904747,0,3.9,3.9,0
39049001110->39049007830,2.903056086447801,3.961,1.0579439135521986,36.44242074725831,0,9.45,9.45,0
39049001110->39049002200,3.174782669145262,3.846,0.6712173308547382,21.142150528226498,0,6.366666666666666,6.366666666666666,0
39049001110->39049001200,1.0809391179033123,1.929,0.8480608820966877,78.45593410863543,0,4.3,4.3,0
39049001110->39049001902,3.432624458874672,4.77,1.3373755411253274,38.96072981906571,0,7.933333333333334,7.933333333333334,0
39049001110->39049001901,2.740500674894149,3.915,1.174499325105851,42.85710767618095,0,6.55,6.55,0
39049001110->39049003200,3.6973922073869807,5.073,1.3756077926130197,37.20481126845855,0,9.25,9.25,0
39049001110->39049002000,3.0415548397067345,4.391,1.3494451602932656,44.36695149061914,0,7.783333333333333,7.783333333333333,0
39049001110->39049001300,1.6169365867712542,2.425,0.8080634132287456,49.97496004727743,0,4.766666666666667,4.766666666666667,0
39049001110->39049003600,5.5839417021113515,8.826,3.242058297888649,58.06038943176628,0,10.066666666666666,10.066666666666666,0
39049001110->39049001400,2.9794181178032426,4.83,1.8505818821967575,62.11219134161712,0,7.5,7.5,0
39049001110->39049002300,4.016175080104273,7.196,3.1798249198957267,79.1754556629829,0,9.516666666666667,9.516666666666667,0
39049001110->39049001500,3.463617638992953,5.951,2.4873823610070467,71.81457713473976,0,8.35,8.35,0
39049001110->39049001700,2.274565531801443,2.908,0.6334344681985571,27.848591713111936,0,5.0,5.0,0
39049001110->39049001810,1.9282197353573978,3.2,1.2717802646426024,65.95618960444239,0,6.466666666666667,6.466666666666667,0
39049001110->39049001820,2.404533556561191,3.644,1.239466443438809,51.54706367298171,0,6.233333333333333,6.233333333333333,0
39049001110->39049002100,3.211120078166362,4.181,0.969879921833638,30.203788653941153,0,7.616666666666666,7.616666666666666,0
39049001110->39049001000,0.7133257288090575,1.016,0.3026742711909425,42.4314249391055,0,3.45,3.45,0
39049001110->39049001600,2.3879941745377518,3.285,0.8970058254622484,37.563149651982854,0,6.8,6.8,0
39049001110->39049002900,5.0219988284844685,8.232,3.2100011715155308,63.91879570557846,0,11.983333333333333,11.983333333333333,0
39049001110->39049002520,6.28778811717032,10.509,4.221211882829681,67.13349438895126,0,11.866666666666667,11.866666666666667,0
39049001110->39049002800,5.751231385025625,10.275,4.523768614974375,78.6573919935273,0,11.133333333333333,11.133333333333333,0
39049001110->39049008500,3.705697119240146,6.352,2.6463028807598543,71.4117423957865,0,7.533333333333333,7.533333333333333,0
39049001110->39049002510,6.167382861078382,12.236,6.068617138921619,98.3985796831252,0,12.316666666666666,12.316666666666666,0
39049003000->39049001121,3.4153954855746123,5.057,1.6416045144253881,48.064844067368725,0,10.3,10.3,0
39049003000->39049007830,4.86565240623087,8.487,3.62134759376913,74.4267631845566,0,14.316666666666666,14.316666666666666,0
39049003000->39049002200,1.1910312857487144,2.027,0.8359687142512857,70.18864443395148,0,4.766666666666667,4.766666666666667,0
39049003000->39049001200,3.4561149447243635,4.716,1.2598850552756367,36.45379495258994,0,9.45,9.45,0
39049003000->39049001902,4.807190088348949,8.343,3.535809911651051,73.55252957898824,0,10.833333333333334,10.833333333333334,0
39049003000->39049001901,3.657861289074278,6.374,2.716138710925722,74.25483079521354,0,9.45,9.45,0
39049003000->39049003200,1.7531234521757055,3.638,1.8848765478242944,107.51533472928432,0,5.316666666666666,5.316666666666666,0
39049003000->39049002000,2.0943171758140657,4.302,2.207682824185934,105.41301239759935,0,6.75,6.75,0
39049003000->39049001300,2.798585306079417,4.172,1.3734146939205827,49.075319981745395,0,8.016666666666667,8.016666666666667,0
39049003000->39049003600,1.6234723044511927,2.554,0.9305276955488071,57.31712780054894,0,6.166666666666667,6.166666666666667,0
39049003000->39049001400,2.7617665821027373,4.207,1.4452334178972626,52.330034958888504,0,6.3,6.3,0
39049003000->39049002300,1.0536692775503562,2.145,1.0913307224496438,103.57431365815711,0,3.183333333333333,3.183333333333333,0
39049003000->39049001500,2.758115741940429,4.505,1.7468842580595707,63.33614762774885,0,6.433333333333334,6.433333333333334,0
39049003000->39049001700,2.0591365081951274,3.076,1.0168634918048727,49.383005340242015,0,7.216666666666667,7.216666666666667,0
39049003000->39049001810,2.675327340654305,4.174,1.4986726593456954,56.01829116653684,0,8.783333333333333,8.783333333333333,0
39049003000->39049001820,2.341125512328433,3.532,1.1908744876715671,50.86760540604887,0,7.45,7.45,0
39049003000->39049002100,1.4662338293967623,3.123,1.656766170603238,112.99467638697604,0,7.45,7.45,0
39049003000->39049001000,4.195453439504641,7.761,3.565546560495359,84.98596425649629,0,9.4,9.4,0
39049003000->39049001600,2.0079009274797652,3.086,1.0780990725202346,53.69284200059713,0,6.7,6.7,0
39049003000->39049002900,1.4652362160986787,2.416,0.9507637839013212,64.88808926882889,0,6.0,6.0,0
39049003000->39049002520,2.9393293754466807,5.343,2.4036706245533193,81.77615767161313,0,7.383333333333334,7.383333333333334,0
39049003000->39049002800,2.3709362010261263,5.109,2.7380637989738736,115.48449923658244,0,6.666666666666667,6.666666666666667,0
39049003000->39049008500,2.800707937529121,4.794,1.9932920624708785,71.17100772133449,0,7.4,7.4,0
39049003000->39049002510,4.621617456349092,7.07,2.448382543650908,52.976746058619916,0,7.85,7.85,0
39049001121->39049007830,2.565335095893557,4.82,2.2546649041064435,87.8896837966932,0,11.266666666666667,11.266666666666667,0
39049001121->39049002200,2.2345421724301255,3.032,0.7974578275698745,35.6877501534293,0,5.583333333333333,5.583333333333333,0
39049001121->39049001200,0.9326490754456526,1.92,0.9873509245543474,105.86521238790232,0,4.816666666666666,4.816666666666666,0
39049001121->39049001902,2.9602746783816047,5.628,2.6677253216183954,90.11749284957747,0,9.75,9.75,0
39049001121->39049001901,2.0149472662311054,4.391,2.3760527337688946,117.92133588752552,0,8.4,8.4,0
39049001121->39049003200,2.6965089634969615,4.259,1.5624910365030389,57.94495985938523,0,8.466666666666667,8.466666666666667,0
39049001121->39049002000,2.0452151949757376,3.577,1.5317848050242624,74.8960211515754,0,7.0,7.0,0
39049001121->39049001300,1.0043390779858818,1.464,0.4596609220141181,45.76750343478915,0,4.35,4.35,0
39049001121->39049003600,4.779165381177121,7.023,2.243834618822879,46.9503446702281,0,10.833333333333334,10.833333333333334,0
39049001121->39049001400,2.635496174205699,3.838,1.202503825794301,45.627227144684376,0,8.9,8.9,0
39049001121->39049002300,3.2493544251141353,6.381,3.131645574885865,96.37746965001715,0,8.733333333333333,8.733333333333333,0
