edge,geodesic_distance_km,gh_distance_km,distance_diff_km,distance_pct_change,geodesic_time_min,gh_time_min,time_diff_min,time_pct_change
39049007952->39049006310,3.0357451610049133,3.0357451610049133,0.0,0.0,6.071490322009827,6.071490322009827,0.0,0.0
39049007952->39049006330,3.1165398775852236,3.1165398775852236,0.0,0.0,6.233079755170447,6.233079755170447,0.0,0.0
39049007952->39049006410,3.8882678585997943,3.8882678585997943,0.0,0.0,7.7765357171995895,7.7765357171995895,0.0,0.0
39049007952->39049007931,3.7402698057596453,3.7402698057596453,0.0,0.0,7.480539611519291,7.480539611519291,0.0,0.0
39049007952->39049006340,4.445691022613335,4.445691022613335,0.0,0.0,8.89138204522667,8.89138204522667,0.0,0.0
39049007952->39049007951,4.910533733148299,4.910533733148299,0.0,0.0,9.821067466296599,9.821067466296599,0.0,0.0
39049007952->39049007941,5.3001075616828555,5.3001075616828555,0.0,0.0,10.600215123365711,10.600215123365711,0.0,0.0
39049007952->39049007922,5.053575095075039,5.053575095075039,0.0,0.0,10.107150190150078,10.107150190150078,0.0,0.0
39049007952->39049006500,5.667014692041012,5.667014692041012,0.0,0.0,11.334029384082024,11.334029384082024,0.0,0.0
39049007952->39049007933,5.330157549488887,5.330157549488887,0.0,0.0,10.660315098977774,10.660315098977774,0.0,0.0
39049007952->39049006220,6.905401998663486,6.905401998663486,0.0,0.0,13.810803997326971,13.810803997326971,0.0,0.0
39049008210->39049004610,2.714368542750846,2.714368542750846,0.0,0.0,5.428737085501692,5.428737085501692,0.0,0.0
39049008210->39049008311,3.0069248025977444,3.0069248025977444,0.0,0.0,6.013849605195489,6.013849605195489,0.0,0.0
39049008210->39049008230,2.9907093685874684,2.9907093685874684,0.0,0.0,5.981418737174937,5.981418737174937,0.0,0.0
39049008210->39049008312,3.6182673098745277,3.6182673098745277,0.0,0.0,7.236534619749055,7.236534619749055,0.0,0.0
39049008210->39049004620,3.054059579066923,3.054059579066923,0.0,0.0,6.108119158133846,6.108119158133846,0.0,0.0
39049008210->39049008321,3.7981225314539278,3.7981225314539278,0.0,0.0,7.596245062907856,7.596245062907856,0.0,0.0
39049008210->39049008242,4.276896276787463,4.276896276787463,0.0,0.0,8.553792553574926,8.553792553574926,0.0,0.0
39049008210->39049004810,4.205784049693179,4.205784049693179,0.0,0.0,8.411568099386358,8.411568099386358,0.0,0.0
39049008210->39049008350,4.3323511631026435,4.3323511631026435,0.0,0.0,8.664702326205287,8.664702326205287,0.0,0.0
39049008210->39049008110,3.8997900474995904,3.8997900474995904,0.0,0.0,7.79958009499918,7.79958009499918,0.0,0.0
39049008210->39049008241,5.381567278021078,5.381567278021078,0.0,0.0,10.763134556042155,10.763134556042155,0.0,0.0
39049008210->39049008120,4.378385223681303,4.378385223681303,0.0,0.0,8.756770447362605,8.756770447362605,0.0,0.0
39049007954->39049007953,1.413263313483458,1.413263313483458,0.0,0.0,2.826526626966916,2.826526626966916,0.0,0.0
39049007954->39049007933,2.6854264951408764,2.6854264951408764,0.0,0.0,5.370852990281753,5.370852990281753,0.0,0.0
39049007954->39049008142,3.279329960611904,3.279329960611904,0.0,0.0,6.558659921223808,6.558659921223808,0.0,0.0
39049007954->39049010602,3.860262791698548,3.860262791698548,0.0,0.0,7.720525583397096,7.720525583397096,0.0,0.0
39049007954->39049007931,4.946948650056058,4.946948650056058,0.0,0.0,9.893897300112116,9.893897300112116,0.0,0.0
39049007954->39049010601,4.399793096684834,4.399793096684834,0.0,0.0,8.799586193369668,8.799586193369668,0.0,0.0
39049007954->39049008141,5.304797400358679,5.304797400358679,0.0,0.0,10.609594800717359,10.609594800717359,0.0,0.0
39049007954->39049008242,4.7690405186194775,4.7690405186194775,0.0,0.0,9.538081037238955,9.538081037238955,0.0,0.0
39049007954->39049008110,6.354255477012474,6.354255477012474,0.0,0.0,12.708510954024948,12.708510954024948,0.0,0.0
39049007954->39049008132,7.711636388167224,7.711636388167224,0.0,0.0,15.423272776334446,15.423272776334446,0.0,0.0
39049007954->39049006230,10.522609369987387,10.522609369987387,0.0,0.0,21.045218739974775,21.045218739974775,0.0,0.0
39049007954->39049007922,7.925678376982882,7.925678376982882,0.0,0.0,15.851356753965765,15.851356753965765,0.0,0.0
39049007954->39049007921,8.56280103153232,8.56280103153232,0.0,0.0,17.12560206306464,17.12560206306464,0.0,0.0
39049008142->39049008141,2.054433451838896,2.054433451838896,0.0,0.0,4.108866903677792,4.108866903677792,0.0,0.0
39049008142->39049007953,2.105871460606596,2.105871460606596,0.0,0.0,4.211742921213192,4.211742921213192,0.0,0.0
39049008142->39049008132,4.604175300548111,4.604175300548111,0.0,0.0,9.208350601096223,9.208350601096223,0.0,0.0
39049008142->39049008110,4.041518267446991,4.041518267446991,0.0,0.0,8.083036534893981,8.083036534893981,0.0,0.0
39049008142->39049008120,5.194446608730521,5.194446608730521,0.0,0.0,10.388893217461042,10.388893217461042,0.0,0.0
39049008142->39049007933,5.9326425202186766,5.9326425202186766,0.0,0.0,11.865285040437353,11.865285040437353,0.0,0.0
39049008142->39049008163,5.941812134707901,5.941812134707901,0.0,0.0,11.883624269415803,11.883624269415803,0.0,0.0
39049008142->39049008242,5.055102279151491,5.055102279151491,0.0,0.0,10.110204558302982,10.110204558302982,0.0,0.0
39049008142->39049010602,6.8182885992281115,6.8182885992281115,0.0,0.0,13.636577198456223,13.636577198456223,0.0,0.0
39049008142->39049010601,6.626840146630142,6.626840146630142,0.0,0.0,13.253680293260285,13.253680293260285,0.0,0.0
39049008132->39049008163,1.634581455792998,1.634581455792998,0.0,0.0,3.269162911585996,3.269162911585996,0.0,0.0
39049008132->39049008141,3.198668183170767,3.198668183170767,0.0,0.0,6.397336366341534,6.397336366341534,0.0,0.0
39049008132->39049008120,1.8529082344468981,1.8529082344468981,0.0,0.0,3.7058164688937962,3.7058164688937962,0.0,0.0
39049008132->39049008164,2.283967507512965,2.283967507512965,0.0,0.0,4.56793501502593,4.56793501502593,0.0,0.0
39049008132->39049008110,2.6959445801463673,2.6959445801463673,0.0,0.0,5.391889160292735,5.391889160292735,0.0,0.0
39049008132->39049008162,3.634516695220563,3.634516695220563,0.0,0.0,7.269033390441126,7.269033390441126,0.0,0.0
39049008132->39049008350,3.4113590488458985,3.4113590488458985,0.0,0.0,6.822718097691797,6.822718097691797,0.0,0.0
39049008132->39049008230,3.5023931816243192,3.5023931816243192,0.0,0.0,7.0047863632486385,7.0047863632486385,0.0,0.0
39049008132->39049008161,5.252926215534168,5.252926215534168,0.0,0.0,10.505852431068336,10.505852431068336,0.0,0.0
39049008132->39049007953,6.699001237268673,6.699001237268673,0.0,0.0,13.398002474537346,13.398002474537346,0.0,0.0
39049008132->39049009800,14.747938057244724,14.747938057244724,0.0,0.0,29.495876114489448,29.495876114489448,0.0,0.0
39049007199->39049007113,1.4582317621566332,1.4582317621566332,0.0,0.0,2.9164635243132664,2.9164635243132664,0.0,0.0
39049007199->39049010100,2.463056730844975,2.463056730844975,0.0,0.0,4.92611346168995,4.92611346168995,0.0,0.0
39049007199->39049007202,2.683750791359653,2.683750791359653,0.0,0.0,5.367501582719306,5.367501582719306,0.0,0.0
